meter_number,meter_size,branch,current_location,status
NCWSC1501132525S,0.5'',roysambu,roysambu store,available
NCWSC1501132625S,0.5'',roysambu,roysambu store,available
NCWSC1501132725S,0.5'',roysambu,roysambu store,available
NCWSC1501132825S,0.5'',roysambu,roysambu store,available
NCWSC1501133025S,0.5'',roysambu,roysambu store,available
NCWSC1501135925S,0.5'',roysambu,roysambu store,available
NCWSC1501136125S,0.5'',roysambu,roysambu store,available
NCWSC1501136225S,0.5'',roysambu,roysambu store,available
NCWSC1501136325S,0.5'',roysambu,roysambu store,available
NCWSC1501136425S,0.5'',roysambu,roysambu store,available
NCWSC1501136525S,0.5'',roysambu,roysambu store,available
NCWSC1501136625S,0.5'',roysambu,roysambu store,available
NCWSC1501136825S,0.5'',roysambu,roysambu store,available
NCWSC1501136925S,0.5'',roysambu,roysambu store,available
NCWSC1501137025S,0.5'',roysambu,roysambu store,available
NCWSC1501137325S,0.5'',roysambu,roysambu store,available
NCWSC1501137525S,0.5'',roysambu,roysambu store,available
NCWSC1501137725S,0.5'',roysambu,roysambu store,available
NCWSC1501137825S,0.5'',roysambu,roysambu store,available
NCWSC1501137925S,0.5'',roysambu,roysambu store,available
NCWSC1501138825S,0.5'',roysambu,roysambu store,available
NCWSC1501139125S,0.5'',roysambu,roysambu store,available
NCWSC1501139225S,0.5'',roysambu,roysambu store,available
NCWSC1501139425S,0.5'',roysambu,roysambu store,available
NCWSC1501139525S,0.5'',roysambu,roysambu store,available
NCWSC1501139625S,0.5'',roysambu,roysambu store,available
NCWSC1501139725S,0.5'',roysambu,roysambu store,available
NCWSC1501139925S,0.5'',roysambu,roysambu store,available
NCWSC1501140025S,0.5'',roysambu,roysambu store,available
NCWSC1501141125S,0.5'',roysambu,roysambu store,available
NCWSC1501141225S,0.5'',roysambu,roysambu store,available
NCWSC1501141325S,0.5'',roysambu,roysambu store,available
NCWSC1501141425S,0.5'',roysambu,roysambu store,available
NCWSC1501141525S,0.5'',roysambu,roysambu store,available
NCWSC1501141625S,0.5'',roysambu,roysambu store,available
NCWSC1501141725S,0.5'',roysambu,roysambu store,available
NCWSC1501141825S,0.5'',roysambu,roysambu store,available
NCWSC1501142125S,0.5'',roysambu,roysambu store,available
NCWSC1501142225S,0.5'',roysambu,roysambu store,available
NCWSC1501142325S,0.5'',roysambu,roysambu store,available
NCWSC1501142425S,0.5'',roysambu,roysambu store,available
NCWSC1501142525S,0.5'',roysambu,roysambu store,available
NCWSC1501142625S,0.5'',roysambu,roysambu store,available
NCWSC1501142725S,0.5'',roysambu,roysambu store,available
NCWSC1501142825S,0.5'',roysambu,roysambu store,available
NCWSC1501142825S,0.5'',roysambu,roysambu store,available
NCWSC1501142925S,0.5'',roysambu,roysambu store,available
NCWSC1501143125S,0.5'',roysambu,roysambu store,available
NCWSC1501143225S,0.5'',roysambu,roysambu store,available
NCWSC1501143325S,0.5'',roysambu,roysambu store,available
NCWSC1501143425S,0.5'',roysambu,roysambu store,available
NCWSC1501143525S,0.5'',roysambu,roysambu store,available
NCWSC1501143625S,0.5'',roysambu,roysambu store,available
NCWSC1501143725S,0.5'',roysambu,roysambu store,available
NCWSC1501143825S,0.5'',roysambu,roysambu store,available
NCWSC1501143925S,0.5'',roysambu,roysambu store,available
NCWSC1501144125S,0.5'',roysambu,roysambu store,available
NCWSC1501144225S,0.5'',roysambu,roysambu store,available
NCWSC1501144325S,0.5'',roysambu,roysambu store,available
NCWSC1501144425S,0.5'',roysambu,roysambu store,available
NCWSC1501144525S,0.5'',roysambu,roysambu store,available
NCWSC1501144625S,0.5'',roysambu,roysambu store,available
NCWSC1501144725S,0.5'',roysambu,roysambu store,available
NCWSC1501144825S,0.5'',roysambu,roysambu store,available
NCWSC1501144925S,0.5'',roysambu,roysambu store,available
NCWSC1501145025S,0.5'',roysambu,roysambu store,available
NCWSC1501145625S,0.5'',roysambu,roysambu store,available
NCWSC1501146125S,0.5'',roysambu,roysambu store,available
NCWSC1501146525S,0.5'',roysambu,roysambu store,available
NCWSC1501146625S,0.5'',roysambu,roysambu store,available
NCWSC1501146725S,0.5'',roysambu,roysambu store,available
NCWSC1501146825S,0.5'',roysambu,roysambu store,available
NCWSC1501147025S,0.5'',roysambu,roysambu store,available
NCWSC1501147325S,0.5'',roysambu,roysambu store,available
NCWSC1501149125S,0.5'',roysambu,roysambu store,available
NCWSC1501149225S,0.5'',roysambu,roysambu store,available
NCWSC1501149325S,0.5'',roysambu,roysambu store,available
NCWSC1501149425S,0.5'',roysambu,roysambu store,available
NCWSC1501149525S,0.5'',roysambu,roysambu store,available
NCWSC1501149625S,0.5'',roysambu,roysambu store,available
NCWSC1501149725S,0.5'',roysambu,roysambu store,available
NCWSC1501149825S,0.5'',roysambu,roysambu store,available
NCWSC1501150025S,0.5'',roysambu,roysambu store,available
NCWSC1501362125S,0.5'',roysambu,roysambu store,available
NCWSC1501362225S,0.5'',roysambu,roysambu store,available
NCWSC1501362325S,0.5'',roysambu,roysambu store,available
NCWSC1501362525S,0.5'',roysambu,roysambu store,available
NCWSC1501362625S,0.5'',roysambu,roysambu store,available
NCWSC1501362725S,0.5'',roysambu,roysambu store,available
NCWSC1501362825S,0.5'',roysambu,roysambu store,available
NCWSC1501362825S,0.5'',roysambu,roysambu store,available
NCWSC1501362925S,0.5'',roysambu,roysambu store,available
NCWSC1501363025S,0.5'',roysambu,roysambu store,available
NCWSC1501363125S,0.5'',roysambu,roysambu store,available
NCWSC1501363225S,0.5'',roysambu,roysambu store,available
NCWSC1501363325S,0.5'',roysambu,roysambu store,available
NCWSC1501363425S,0.5'',roysambu,roysambu store,available
NCWSC1501363625S,0.5'',roysambu,roysambu store,available
NCWSC1501363725S,0.5'',roysambu,roysambu store,available
NCWSC1501363825S,0.5'',roysambu,roysambu store,available
NCWSC1501363825S,0.5'',roysambu,roysambu store,available
NCWSC1501364025S,0.5'',roysambu,roysambu store,available
NCWSC1501364325S,0.5'',roysambu,roysambu store,available
NCWSC1501364525S,0.5'',roysambu,roysambu store,available
NCWSC1501364925S,0.5'',roysambu,roysambu store,available
NCWSC1501365025S,0.5'',roysambu,roysambu store,available
NCWSC1501365125S,0.5'',roysambu,roysambu store,available
NCWSC1501365325S,0.5'',roysambu,roysambu store,available
NCWSC1501365425S,0.5'',roysambu,roysambu store,available
NCWSC1501365625S,0.5'',roysambu,roysambu store,available
NCWSC1501365625S,0.5'',roysambu,roysambu store,available
NCWSC1501365725S,0.5'',roysambu,roysambu store,available
NCWSC1501365825S,0.5'',roysambu,roysambu store,available
NCWSC1501365925S,0.5'',roysambu,roysambu store,available
NCWSC1501366025S,0.5'',roysambu,roysambu store,available
NCWSC1501366125S,0.5'',roysambu,roysambu store,available
NCWSC1501366225S,0.5'',roysambu,roysambu store,available
NCWSC1501366325S,0.5'',roysambu,roysambu store,available
NCWSC1501366825S,0.5'',roysambu,roysambu store,available
NCWSC1501366825S,0.5'',roysambu,roysambu store,available
NCWSC1501366925S,0.5'',roysambu,roysambu store,available
NCWSC1501367025S,0.5'',roysambu,roysambu store,available
NCWSC1501367125S,0.5'',roysambu,roysambu store,available
NCWSC1501367225S,0.5'',roysambu,roysambu store,available
NCWSC1501367325S,0.5'',roysambu,roysambu store,available
NCWSC1501367425S,0.5'',roysambu,roysambu store,available
NCWSC1501367525S,0.5'',roysambu,roysambu store,available
NCWSC1501367625S,0.5'',roysambu,roysambu store,available
NCWSC1501367725S,0.5'',roysambu,roysambu store,available
NCWSC1501367825S,0.5'',roysambu,roysambu store,available
NCWSC1501367925S,0.5'',roysambu,roysambu store,available
NCWSC1501369125S,0.5'',roysambu,roysambu store,available
NCWSC1501369225S,0.5'',roysambu,roysambu store,available
NCWSC1501369325S,0.5'',roysambu,roysambu store,available
NCWSC1501369425S,0.5'',roysambu,roysambu store,available
NCWSC1501369525S,0.5'',roysambu,roysambu store,available
NCWSC1501369625S,0.5'',roysambu,roysambu store,available
NCWSC1501369725S,0.5'',roysambu,roysambu store,available
NCWSC1501369825S,0.5'',roysambu,roysambu store,available
NCWSC1501369925S,0.5'',roysambu,roysambu store,available
NCWSC1501370025S,0.5'',roysambu,roysambu store,available
NCWSC1501371125S,0.5'',roysambu,roysambu store,available
NCWSC1501371525S,0.5'',roysambu,roysambu store,available
NCWSC1501372025S,0.5'',roysambu,roysambu store,available
NCWSC1501372125S,0.5'',roysambu,roysambu store,available
NCWSC1501372225S,0.5'',roysambu,roysambu store,available
NCWSC1501372325S,0.5'',roysambu,roysambu store,available
NCWSC1501372425S,0.5'',roysambu,roysambu store,available
NCWSC1501372525S,0.5'',roysambu,roysambu store,available
NCWSC1501372525S,0.5'',roysambu,roysambu store,available
NCWSC1501372725S,0.5'',roysambu,roysambu store,available
NCWSC1501372725S,0.5'',roysambu,roysambu store,available
NCWSC1501373025S,0.5'',roysambu,roysambu store,available
NCWSC1501373325S,0.5'',roysambu,roysambu store,available
NCWSC1501373425S,0.5'',roysambu,roysambu store,available
NCWSC1501373925S,0.5'',roysambu,roysambu store,available
NCWSC1501374325S,0.5'',roysambu,roysambu store,available
NCWSC1501374425S,0.5'',roysambu,roysambu store,available
NCWSC1501374525S,0.5'',roysambu,roysambu store,available
NCWSC1501374625S,0.5'',roysambu,roysambu store,available
NCWSC1501374725S,0.5'',roysambu,roysambu store,available
NCWSC1501374825S,0.5'',roysambu,roysambu store,available
NCWSC1501374925S,0.5'',roysambu,roysambu store,available
NCWSC1501375125S,0.5'',roysambu,roysambu store,available
NCWSC1501375225S,0.5'',roysambu,roysambu store,available
NCWSC1501375325S,0.5'',roysambu,roysambu store,available
NCWSC1501375525S,0.5'',roysambu,roysambu store,available
NCWSC1501375625S,0.5'',roysambu,roysambu store,available
NCWSC1501375725S,0.5'',roysambu,roysambu store,available
NCWSC1501375825S,0.5'',roysambu,roysambu store,available
NCWSC1501375925S,0.5'',roysambu,roysambu store,available
NCWSC1501376025S,0.5'',roysambu,roysambu store,available
NCWSC1501376125S,0.5'',roysambu,roysambu store,available
NCWSC1501376225S,0.5'',roysambu,roysambu store,available
NCWSC1501376325S,0.5'',roysambu,roysambu store,available
NCWSC1501376425S,0.5'',roysambu,roysambu store,available
NCWSC1501376525S,0.5'',roysambu,roysambu store,available
NCWSC1501376725S,0.5'',roysambu,roysambu store,available
NCWSC1501376825S,0.5'',roysambu,roysambu store,available
NCWSC1501377025S,0.5'',roysambu,roysambu store,available
NCWSC1501377125S,0.5'',roysambu,roysambu store,available
NCWSC1501377225S,0.5'',roysambu,roysambu store,available
NCWSC1501377325S,0.5'',roysambu,roysambu store,available
NCWSC1501377425S,0.5'',roysambu,roysambu store,available
NCWSC1501377525S,0.5'',roysambu,roysambu store,available
NCWSC1501377625S,0.5'',roysambu,roysambu store,available
NCWSC1501377825S,0.5'',roysambu,roysambu store,available
NCWSC1501377925S,0.5'',roysambu,roysambu store,available
NCWSC1501378025S,0.5'',roysambu,roysambu store,available
NCWSC1501380125S,0.5'',roysambu,roysambu store,available
NCWSC1501380225S,0.5'',roysambu,roysambu store,available
NCWSC1501380325S,0.5'',roysambu,roysambu store,available
NCWSC1501380425S,0.5'',roysambu,roysambu store,available
NCWSC1501380525S,0.5'',roysambu,roysambu store,available
NCWSC1501380625,0.5'',roysambu,roysambu store,available
NCWSC1501380725,0.5'',roysambu,roysambu store,available
NCWSC1501380825,0.5'',roysambu,roysambu store,available
NCWSC1501380925S,0.5'',roysambu,roysambu store,available
NCWSC1501381025S,0.5'',roysambu,roysambu store,available
NCWSC1501381825S,0.5'',roysambu,roysambu store,available
NCWSC1501382125S,0.5'',roysambu,roysambu store,available
NCWSC1501382225S,0.5'',roysambu,roysambu store,available
NCWSC1501382325S,0.5'',roysambu,roysambu store,available
NCWSC1501382425S,0.5'',roysambu,roysambu store,available
NCWSC1501382525S,0.5'',roysambu,roysambu store,available
NCWSC1501382625S,0.5'',roysambu,roysambu store,available
NCWSC1501382725S,0.5'',roysambu,roysambu store,available
NCWSC1501382825S,0.5'',roysambu,roysambu store,available
NCWSC1501382925S,0.5'',roysambu,roysambu store,available
NCWSC1501383025S,0.5'',roysambu,roysambu store,available
NCWSC1501383125S,0.5'',roysambu,roysambu store,available
NCWSC1501383225S,0.5'',roysambu,roysambu store,available
NCWSC1501383325S,0.5'',roysambu,roysambu store,available
NCWSC1501383425S,0.5'',roysambu,roysambu store,available
NCWSC1501383925S,0.5'',roysambu,roysambu store,available
NCWSC1501385125S,0.5'',roysambu,roysambu store,available
NCWSC1501385225S,0.5'',roysambu,roysambu store,available
NCWSC1501385325S,0.5'',roysambu,roysambu store,available
NCWSC1501385425S,0.5'',roysambu,roysambu store,available
NCWSC1501385525S,0.5'',roysambu,roysambu store,available
NCWSC1501385625S,0.5'',roysambu,roysambu store,available
NCWSC1501385725S,0.5'',roysambu,roysambu store,available
NCWSC1501385825S,0.5'',roysambu,roysambu store,available
NCWSC1501385925S,0.5'',roysambu,roysambu store,available
NCWSC1501386025S,0.5'',roysambu,roysambu store,available
NCWSC1501386125S,0.5'',roysambu,roysambu store,available
NCWSC1501386225S,0.5'',roysambu,roysambu store,available
NCWSC1501386325S,0.5'',roysambu,roysambu store,available
NCWSC1501386425S,0.5'',roysambu,roysambu store,available
NCWSC1501386525S,0.5'',roysambu,roysambu store,available
NCWSC1501386625S,0.5'',roysambu,roysambu store,available
NCWSC1501386725S,0.5'',roysambu,roysambu store,available
NCWSC1501386825,0.5'',roysambu,roysambu store,available
NCWSC1501386925S,0.5'',roysambu,roysambu store,available
NCWSC1501387025S,0.5'',roysambu,roysambu store,available
NCWSC1501390325S,0.5'',roysambu,roysambu store,available
NCWSC1501390425s,0.5'',roysambu,roysambu store,available
NCWSC1501390725S,0.5'',roysambu,roysambu store,available
NCWSC1501390925S,0.5'',roysambu,roysambu store,available
NCWSC1501391025S,0.5'',roysambu,roysambu store,available
NCWSC1501392125S,0.5'',roysambu,roysambu store,available
NCWSC1501392225S,0.5'',roysambu,roysambu store,available
NCWSC1501392325S,0.5'',roysambu,roysambu store,available
NCWSC1501392525S,0.5'',roysambu,roysambu store,available
NCWSC1501392625S,0.5'',roysambu,roysambu store,available
NCWSC1501392725S,0.5'',roysambu,roysambu store,available
NCWSC1501392725S,0.5'',roysambu,roysambu store,available
NCWSC1501392725S,0.5'',roysambu,roysambu store,available
NCWSC1501392825S,0.5'',roysambu,roysambu store,available
NCWSC1501392925S,0.5'',roysambu,roysambu store,available
NCWSC1501394125S,0.5'',roysambu,roysambu store,available
NCWSC1501394225S,0.5'',roysambu,roysambu store,available
NCWSC1501394325S,0.5'',roysambu,roysambu store,available
NCWSC1501394425S,0.5'',roysambu,roysambu store,available
NCWSC1501394525S,0.5'',roysambu,roysambu store,available
NCWSC1501394625S,0.5'',roysambu,roysambu store,available
NCWSC1501394725S,0.5'',roysambu,roysambu store,available
NCWSC1501394825S,0.5'',roysambu,roysambu store,available
NCWSC1501394925S,0.5'',roysambu,roysambu store,available
NCWSC1501395025S,0.5'',roysambu,roysambu store,available
NCWSC1501396125,0.5'',roysambu,roysambu store,available
NCWSC1501396325S,0.5'',roysambu,roysambu store,available
NCWSC1501396425S,0.5'',roysambu,roysambu store,available
NCWSC1501396525S,0.5'',roysambu,roysambu store,available
NCWSC1501396625S,0.5'',roysambu,roysambu store,available
NCWSC1501396925S,0.5'',roysambu,roysambu store,available
NCWSC1501398125S,0.5'',roysambu,roysambu store,available
NCWSC1501398225S,0.5'',roysambu,roysambu store,available
NCWSC1501398525S,0.5'',roysambu,roysambu store,available
NCWSC1501398625S,0.5'',roysambu,roysambu store,available
NCWSC1501398625S,0.5'',roysambu,roysambu store,available
NCWSC1501398725S,0.5'',roysambu,roysambu store,available
NCWSC1501398825S,0.5'',roysambu,roysambu store,available
